# File Integrity Report
Generated: 2025-08-30T12:41:40.157191
Directory: /Users/qr-transfer/workspace/demo/poc_cc/ccparts
Total Files: 71
Total Size: 6.7MB
Errors: 0

# File Checksums (QR | MD5 | SHA256 | Size)
# Format: filename | qr_hash | md5 | sha256 | size_bytes
cc.7z.part044 | gkljf0 | b7f5beff5baa7d00a1b58ef9226fcf61 | a5a2584be02101609fd7802dcc36ac6ab433e3af5bc011a60334b159db0fee87 | 102400
cc.7z.part043 | wr09bt | 3278cd0efc9aa01dbf19cb57a38b9946 | c630753a0f627fd4293bbadf022b06d3956bfeb26ed71e507bc45fa226bcb504 | 102400
join_parts.sh | 1lkrq81 | cf8c92a515d7f6f409d75f503eea0f41 | eb107f2f1fec8f97248757b32b605e19a8c8d6f68947cd3c3581ef06a9985a4b | 1582
cc.7z.part019 | tbpm35 | 31d25285e5339f5495a4234507f59308 | e2bbee8fe2a5d3efe062c5e64cb4b5d2b1f9044b5c0eeafa8c2d5a02f0b80256 | 102400
cc.7z.part026 | 102gs4h | c6fa3c628e6f54102dbd65ff8ecf2b07 | b802b752253094117d7802642c40895bcff38f33203af360916beb577ef372a4 | 102400
cc.7z.part021 | njm945 | 0a0b2067460a70f41acc70ba0fc595b0 | 31f4c5dd6a6c6a07ce45491b80e978fc4adcd9b270aff288435c14586e8c0882 | 102400
cc.7z.part028 | kv8u62 | 1d05a9f33b2c55cc462322a0a6a6c98f | 7fe874d48122f6a853124e286d70d31e4403453e71d3540b9137ce3343942f14 | 102400
cc.7z.part017 | a2tdx1 | 98b1f18b32a30ec17f4beaf520ba6d93 | ca09e6973be948d5855956f93e4440b30f50bcbc23511669ddef74814de5db7f | 102400
cc.7z.part010 | 7yjvz1 | 09f71860dd2ba30385591d5894091a27 | 080a07bd560d8920be1c4afc48f0f11fb24f570f48d07d5cc728216d21825c03 | 102400
cc.7z.part042 | 12ek2pg | b1f33db8e0eb6af47dc5d5d0977cec91 | eff17e3afe3e7998927a391bb4145981249620672cefcc68dd69e27a4e9b4e1e | 102400
cc.7z.part045 | jmv6k3 | ca7949f2cdf5c2a729e75a3cfb00f084 | a5d802f7078250cffce864df7c14e31d78cd3567dac8c5acec0c3af56b25fdcc | 102400
cc.7z.part011 | 1w3qnp6 | 53d9576fda79a713de956ed5f1ed8b86 | d24ec2534fc257bc820b83e6c9f120492859fd4d189be0d4a08571c54f828eb6 | 102400
cc.7z.part029 | 14uzhv2 | e77e5bc0311203bf9ce17894825d30ac | 1d012c32ae1fc0784486c9eebf87ea2750b1964d14f1425e993d2fa8766860aa | 102400
cc.7z.part016 | w7ji2p | 056c0751c7773ff1764a3951e3ed5ca2 | b17fbcfaa96b3a89b5d2b4f8db5a2411825420712f755b1453a9589529b772a6 | 102400
cc.7z.part020 | 115hmca | d46208c1223190be31d6e5986b666773 | 8e0a64b2c1d81891f4acffc17d2f4cd97be55d903b5906c2451efb37094595bf | 102400
cc.7z.part018 | 1j9xpn | 882eb9cb76cbfcb430ddd0b1af710908 | 32e4e2bb76afdb25d3a63f7cf8ccc8b7faad3a950cfb8e24f0c4e83ce8d02e78 | 102400
cc.7z.part027 | 1e1hm49 | 0dc2d233738c4e0138d000ed96f76f59 | 222ff89ce2011ace5fce59bdd745c0e09564230c2246f1fe3f12dc0e2dfaf09d | 102400
.DS_Store | a501ao | 6f4418997c76726455927bae5cac77ee | 3cccb7d78b95aea62e5ea72cdb1444fef0666d8c70f55fa0e7ee0fa69e5747fe | 6148
cc.7z.part005 | 1ftic7a | b3fdf1729e7c1a40fd499be8ae68cad5 | 4041e7131e78683adbe17cf9f5e91dd3610cdec6b573b32373f6ea5162fe18c7 | 102400
cc.7z.part002 | 1qt4li7 | 475b6c55cc1d4876937aa9e62a1ff112 | fa181ae41384406808cf308adc7a90b4271475bcf4d9413aa6f2e91e033dd5f0 | 102400
cc.7z.part034 | 128w2i1 | 420276e80b6ac8dea91c9c838423505e | ac4afffd650f3938ccc072fa6ad53c18fd311d66f5350de0d095847a9ae2c961 | 102400
cc.7z.part033 | ks7s1x | 25679115a38f94fedaa66c901a992738 | 18f4a1781bfe7d1e8646565ea2f430388cdb4e0ee6af58f28700d22472cc1ee3 | 102400
cc.7z.part058 | 1x7eudg | dfd9cf6de6b02c7b4b16665853cc6a81 | 8880671ec272eb3698077a6a30ff9b1576e6fcba773d5785a546b3135ce964f8 | 102400
cc.7z.part067 | ucdczc | 872259f51d32e539becc24f85aa9ebb3 | 67112815b4098fd121fccf5160a6b15b72a00676c2ef689a7460ef600e9d5925 | 102400
cc.7z.part060 | 90oznc | b896ca8e82cdcae9f319aca864724e3a | 62e32a85884a86c23eceff035d0955cec4866941286b5b0e524573c4d9d64e47 | 102400
cc.7z.part056 | 1sy8ne | e55565240b527c5113a9f318f7949369 | 3864c7829dd8e4ee9907a17d40e4d305b9e5d4e6873a1235048b964eb4107f76 | 102400
cc.7z.part051 | ecztli | f71782c6ff22b9a6d63ba5019389bf86 | 02f291abee25b4eea0a4bdbba3b47ba834fdf6041bdd6338aebdf534c5686fe5 | 102400
cc.7z.part032 | 1iki4c | 46a530177f75ebde5b4d349136cdfc0f | b8cb0e8a0931b3b520b372c6e98862412e2d6f7877adc8da6b5c2642ffbd7e58 | 102400
cc.7z.part035 | uc98ph | 9ebcc5ab62829b09585dd75a41020b5d | cac4d4c2614705678e19217390d1acf6062bee96559cdbb136ec59f408247fb9 | 102400
cc.7z.part003 | 1g9l1a8 | 440117f0ab262833822f08bb93cb2f7f | d882cdbbfc5fbe93ab19009b7d830a9ebfb15cf742d82ae945d4b0c7f660efdb | 102400
cc.7z.part004 | 1506x4l | 5f88cbc7213cb53f8d2412624a639118 | dc570e920a78c403a411819df5edbc94d3ec53b70caab16d5867b1793b386a9b | 102400
cc.7z.part050 | 13iuh4 | 94c75d608d0d2794b059fc900f16506a | 7de072b3c2ce7ea6cef95855f2bac267130ad02b89249c142110cb0407071d94 | 102400
cc.7z.part068 | p5d9q5 | ca0b226f3e1428734cd4441738f34b7a | 5c34e9e5407e28a0a4eb1705f674fadc6666d0a441c2dd7f3af2c303d6f9e8a5 | 92941
cc.7z.part057 | 1ko42t2 | debd92d561a1e28b6ff2164131dccda8 | 670cfe0468a7547086c3757f66800d5a54cfc7841f545436e41d517ac94dbb19 | 102400
